"year","prov","sector","scenario","emissions"
2016,"ATL","Electricity","2022 Reference Case",0
2016,"ATL","Electricity","NIR 2022",12.1
2016,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2016,"Northwest Territories","Electricity","2022 Reference Case",0
2016,"Northwest Territories","Electricity","NIR 2022",0
2016,"ON","Electricity","2022 Additional Measures Scenario",0
2016,"ON","Electricity","2022 Reference Case",0
2016,"ON","Electricity","NIR 2022",4.8
2016,"QC","Electricity","2022 Additional Measures Scenario",0
2016,"QC","Electricity","2022 Reference Case",0
2016,"QC","Electricity","NIR 2022",0.3
2016,"SK","Electricity","2022 Additional Measures Scenario",0
2016,"SK","Electricity","2022 Reference Case",0
2016,"SK","Electricity","NIR 2022",14.7
2017,"AB","Electricity","2022 Additional Measures Scenario",0
2017,"AB","Electricity","2022 Reference Case",0
2017,"AB","Electricity","NIR 2022",42.5
2017,"BC","Electricity","2022 Additional Measures Scenario",0
2017,"BC","Electricity","2022 Reference Case",0
2017,"BC","Electricity","NIR 2022",0.4
2017,"Canada","Electricity","2022 Additional Measures Scenario",0
2017,"Canada","Electricity","2022 Reference Case",0
2017,"Canada","Electricity","NIR 2022",72.6
2017,"MB","Electricity","2022 Additional Measures Scenario",0
2017,"MB","Electricity","2022 Reference Case",0
2017,"MB","Electricity","NIR 2022",0.1
2017,"ATL","Electricity","2022 Additional Measures Scenario",0
2017,"ATL","Electricity","2022 Reference Case",0
2017,"ATL","Electricity","NIR 2022",11.7
2017,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2017,"Northwest Territories","Electricity","2022 Reference Case",0
2017,"Northwest Territories","Electricity","NIR 2022",0
2017,"ON","Electricity","2022 Additional Measures Scenario",0
2017,"ON","Electricity","2022 Reference Case",0
2017,"ON","Electricity","NIR 2022",2.2
2017,"QC","Electricity","2022 Additional Measures Scenario",0
2017,"QC","Electricity","2022 Reference Case",0
2017,"QC","Electricity","NIR 2022",0.3
2017,"SK","Electricity","2022 Additional Measures Scenario",0
